lang,tier
myb_Latn,genus_script
myk_Latn,script
myu_Latn,family_script
myv_Cyrl,family_script
myw_Latn,genus_script
myx_Latn,script
myy_Latn,script
mza_Latn,script
mzh_Latn,script
mzk_Latn,family_script
mzl_Latn,script
mzm_Latn,family_script
mzn_Arab,genus_script
mzw_Latn,script
mzz_Latn,script
nab_Latn,script
naf_Latn,genus_script
nah_Latn,script
nak_Latn,genus_script
nan_Latn,family_script
nap_Latn,genus_script
naq_Latn,script
nas_Latn,script
nav_Latn,script
naw_Latn,script
nba_Latn,script
nbc_Latn,genus_script
nbe_Latn,script
nbl_Latn,script
nbq_Latn,script
nbu_Latn,family_script
nca_Latn,script
nch_Latn,script
ncj_Latn,genus_script
ncl_Latn,genus_script
ncq_Laoo,script
nct_Latn,script
ncu_Latn,family_script
ncx_Latn,script
ndc_Latn,script
nde_Latn,genus_script
ndh_Latn,script
ndi_Latn,family_script
ndj_Latn,script
ndo_Latn,genus_script
ndp_Latn,script
nds_Latn,genus_script
ndy_Latn,script
ndz_Latn,family_script
neb_Latn,script
new_Deva,script
nfa_Latn,script
nfr_Latn,family_script
ngb_Latn,family_script
ngc_Latn,genus_script
ngl_Latn,script
ngp_Latn,script
ngu_Latn,genus_script
nhd_Latn,script
nhe_Latn,genus_script
nhg_Latn,genus_script
nhi_Latn,script
nhk_Latn,script
nho_Latn,script
nhr_Latn,script
nhu_Latn,family_script
nhw_Latn,genus_script
nhx_Latn,genus_script
nhy_Latn,script
nia_Latn,genus_script
nif_Latn,script
nii_Latn,script
nij_Latn,family_script
nim_Latn,script
nin_Latn,script
nio_Cyrl,family_script
niq_Latn,genus_script
niu_Latn,genus_script
niy_Latn,family_script
njb_Latn,genus_script
njm_Latn,family_script
njn_Latn,script
njo_Latn,family_script
njz_Latn,family_script
nkf_Latn,script
nki_Latn,script
nko_Latn,family_script
nla_Latn,script
nlc_Latn,script
nld_Latn,genus_script
nlg_Latn,genus_script
nma_Latn,script
nmf_Latn,family_script
nmh_Latn,script
nmo_Latn,script
nmw_Latn,script
nmz_Latn,script
nnb_Latn,genus_script
nng_Latn,script
nnh_Latn,script
nnl_Latn,script
nno_Latn,script
nnp_Latn,script
nnq_Latn,script
nnw_Latn,script
noa_Latn,genus_script
nob_Latn,script
nod_Thai,script
nog_Cyrl,genus_script
non_Latn,script
nop_Latn,script
not_Latn,family_script
nou_Latn,script
nov_Latn,script
nph_Latn,script
npi_Deva,genus_script
npi_Latn,genus_script
npl_Latn,script
npo_Latn,script
npy_Latn,family_script
nqo_Nkoo,none
nre_Latn,script
nrf_Latn,script
nri_Latn,script
nsa_Latn,script
nse_Latn,genus_script
nsm_Latn,family_script
